05-02-2005,Uttar Pradesh,Noida,GEE-PEE,Industrial Areas,27,56,93,408
06-03-2005,Uttar Pradesh,Noida,GEE-PEE,Industrial Areas,34,45,100,405
06-06-2005,Uttar Pradesh,Noida,GEE-PEE,Industrial Areas,32,55,110,416
06-10-2005,Uttar Pradesh,Noida,GEE-PEE,Industrial Areas,29,53,121,403
13-06-2005,Uttar Pradesh,Noida,GEE-PEE,Industrial Areas,33,60,112,393
17-06-2005,Uttar Pradesh,Noida,GEE-PEE,Industrial Areas,31,67,137,380
20-06-2005,Uttar Pradesh,Noida,GEE-PEE,Industrial Areas,38,65,137,433
24-06-2005,Uttar Pradesh,Noida,GEE-PEE,Industrial Areas,32,66,124,407
27-06-2005,Uttar Pradesh,Noida,GEE-PEE,Industrial Areas,31,58,117,424
07-01-2005,Uttar Pradesh,Noida,GEE-PEE,Industrial Areas,29,64,123,377
07-04-2005,Uttar Pradesh,Noida,GEE-PEE,Industrial Areas,34,55,102,396
07-08-2005,Uttar Pradesh,Noida,GEE-PEE,Industrial Areas,29,44,72,378
07-11-2005,Uttar Pradesh,Noida,GEE-PEE,Industrial Areas,39,39,61,334
15-07-2005,Uttar Pradesh,Noida,GEE-PEE,Industrial Areas,32,48,79,365
18-07-2005,Uttar Pradesh,Noida,GEE-PEE,Industrial Areas,31,72,105,395
22-07-2005,Uttar Pradesh,Noida,GEE-PEE,Industrial Areas,30,48,125,393
25-07-2005,Uttar Pradesh,Noida,GEE-PEE,Industrial Areas,28,36,92,385
12-02-2005,Uttar Pradesh,Noida,GEE-PEE,Industrial Areas,NA,NA,104,370
12-05-2005,Uttar Pradesh,Noida,GEE-PEE,Industrial Areas,NA,NA,103,393
12-09-2005,Uttar Pradesh,Noida,GEE-PEE,Industrial Areas,NA,NA,118,404
06-02-2005,Uttar Pradesh,Noida,"R.O, UPPB",Residential and others,30,62,NA,495
06-07-2005,Uttar Pradesh,Noida,"R.O, UPPB",Residential and others,33,51,NA,516
06-09-2005,Uttar Pradesh,Noida,"R.O, UPPB",Residential and others,26,43,NA,512
14-06-2005,Uttar Pradesh,Noida,"R.O, UPPB",Residential and others,36,57,NA,495
16-06-2005,Uttar Pradesh,Noida,"R.O, UPPB",Residential and others,31,67,NA,529
21-06-2005,Uttar Pradesh,Noida,"R.O, UPPB",Residential and others,37,62,NA,493
23-06-2005,Uttar Pradesh,Noida,"R.O, UPPB",Residential and others,31,65,NA,488
28-06-2005,Uttar Pradesh,Noida,"R.O, UPPB",Residential and others,37,50,NA,447
07-05-2005,Uttar Pradesh,Noida,"R.O, UPPB",Residential and others,26,39,NA,403
07-12-2005,Uttar Pradesh,Noida,"R.O, UPPB",Residential and others,26,35,NA,337
14-07-2005,Uttar Pradesh,Noida,"R.O, UPPB",Residential and others,35,49,NA,368
19-07-2005,Uttar Pradesh,Noida,"R.O, UPPB",Residential and others,32,42,NA,370
21-07-2005,Uttar Pradesh,Noida,"R.O, UPPB",Residential and others,21,22,NA,380
26-07-2005,Uttar Pradesh,Noida,"R.O, UPPB",Residential and others,32,50,NA,412
